test,Firebase Test Lab,AWS Device Farm,BrowserStack Real Device Cloud,Kobiton Real Device Cloud,Sauce Labs Real Device Cloud,Perfecto Real Device Cloud,overall
INSTALL,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
LAUNCH,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
PERMISSIONS,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
NAVIGATION,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
PROFILES,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
SECURITY_CENTER,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
COMPATIBILITY_CENTER,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
VPN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
TUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
DNS,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
IPv4,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
IPv6,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
Tor,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
.onion,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
Kill Switch,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
Restart,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
Stress,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
Crash,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
ANR,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN,BLOCKED_NOT_RUN
